fen,target
8/8/8/8/4p3/8/K2k4/R7 w - - 0 1,checkmate
8/8/8/8/4p3/7K/5k2/R7 w - - 0 1,checkmate
8/8/8/7K/3pk3/8/8/7R w - - 0 1,checkmate
8/8/8/4k3/1P2P3/8/8/7K w - - 0 1,checkmate
8/8/8/4K3/8/8/3Q1p2/6k1 w - - 0 1,checkmate
8/8/8/3p4/8/5K2/k2P4/8 w - - 0 1,checkmate
8/8/8/3K4/4R3/p7/8/1k6 w - - 0 1,checkmate
8/8/8/2Q5/K7/1p6/1kp5/8 w - - 0 1,checkmate
8/8/6p1/1k6/4K3/8/5P2/8 w - - 0 1,checkmate
8/8/4K3/8/2k5/3p4/8/3R4 w - - 0 1,checkmate
8/8/4K3/2p1P3/4k3/8/8/8 w - - 0 1,checkmate
8/7K/6P1/8/7p/8/8/7k w - - 0 1,checkmate
8/6r1/5pP1/R4K1k/p7/8/8/8 w - - 0 1,checkmate
8/6p1/8/6P1/K7/8/8/1k6 w - - 0 1,checkmate
8/6QK/8/8/8/2p5/1k6/8 w - - 0 1,checkmate
8/5K1p/8/8/8/8/1P6/7k w - - 0 1,checkmate
8/3KR3/8/8/3kp3/8/8/8 w - - 0 1,checkmate
8/3K4/6R1/2pk4/8/8/8/8 w - - 0 1,checkmate
8/2p5/8/8/1K2P2k/8/8/8 w - - 0 1,checkmate
8/2kP4/8/1P3K2/8/8/8/8 w - - 0 1,checkmate
8/2K5/8/8/2k1p3/8/8/R7 w - - 0 1,checkmate
8/1p6/8/k7/3PK3/8/8/8 w - - 0 1,checkmate
8/1p6/8/8/8/3K4/P7/6k1 w - - 0 1,checkmate
8/1k6/8/1P6/1P6/2K5/8/8 w - - 0 1,checkmate
8/1P6/8/8/2K5/8/p1k5/8 w - - 0 1,checkmate
6k1/8/8/8/8/8/P7/7K w - - 0 1,checkmate
6R1/8/5K2/2k5/1p6/8/8/8 w - - 0 1,checkmate
6N1/8/6p1/8/8/7p/5K1k/8 w - - 0 1,checkmate
6KR/8/pk6/8/8/8/8/8 w - - 0 1,checkmate
5b2/5P2/4k1K1/8/8/2B5/8/8 w - - 0 1,checkmate
4k3/8/8/8/6P1/6K1/8/8 w - - 0 1,checkmate
4Q3/8/5K1k/8/8/8/8/1q6 w - - 0 1,checkmate
3R2K1/8/8/3pk3/8/8/8/8 w - - 0 1,checkmate
3K4/5R2/8/1pk5/8/8/8/8 w - - 0 1,checkmate
2R5/8/8/7K/2pk4/8/8/8 w - - 0 1,checkmate
